[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
2026-02-26 00:02:40 | W | 2022-02-10 00:38:12.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:38:12.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:40:16.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:40:16.999 | ANTC | O | mismatch of number of satellites(36) and records got(35) 2022-02-10 00:40:16.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:41:50.999 | ANTC | O | format error (dot-check) for prn G12 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:41:50.999 | ANTC | O | mismatch of number of satellites(36) and records got(35) 2022-02-10 00:41:50.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:42:07.999 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:42:07.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:42:07.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:42:36.999 | ANTC | O | format error (dot-check) for prn G02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:42:36.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:42:36.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:42:50.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:42:50.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:42:50.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:43:36.999 | ANTC | O | format error (dot-check) for prn C14 (length 128 / 8 values)
